szName	szDesc
安荣力劲汤	力道提高49点，持续30分钟
八珍强体汤	体质提高65点，持续30分钟
扒松肉	根骨提高49点，持续30分钟
把子肉	精力值恢复13点
霸王餐	施展伤害或疗伤招式后，有20%几率使小队成员根骨提高2点，持续15秒，最多叠加5层，持续15分钟
白肉血肠	体力值恢复22点
白汁芦筋	体质提高15点，持续15分钟
白芷增骨汤	根骨提高49点，持续30分钟
百味宴	处于组队状态时，摆出一桌宴席，宴请同队队友，并有80%几率提升15的好感度身法提高13点，内力回复每秒提高13点，根骨提高7点，内功伤害提高7点
薄荷蒸排骨	气血回复速度提高15点，持续30分钟
爆椒扒肉	每秒恢复的气血值提高15点，持续15分钟
冰泉炖肉	体质提高24点，根骨提高24点，持续30分钟
叉烧包	外功攻击提高46点，持续15分钟
车前草腰子汤	精力值恢复9点
豉汁鸡爪	每秒恢复的气血值提高7点，持续15分钟
慈菇菜包	体力值恢复7点
葱爆肉丁	疗伤成效提高347点，持续30分钟
醋溜排骨	每秒恢复的内力值提高11点，持续15分钟
脆瓜里脊丝	内功防御等级提高12点，持续15分钟
大肠筋	力道提高8点，持续15分钟
大刀面	精力值恢复5点
担担面	体质提高28点，持续15分钟
稻香饼	每秒恢复的气血值提高2点，持续15分钟
东海宴	招式附加威胁值提高30%，内功防御等级提高27点，外功防御等级提高27，气血值上限提高250点，持续1小时
冬菜扣肉	根骨提高24点，持续15分钟
冬菇藕夹	每秒恢复的气血值提高2点，每秒恢复的内力值提高2点，持续15分钟
冬瓜排骨汤	体力值恢复28点
冬瓜碎肉汤	外功攻击提高18点，持续15分钟
冬瓜丸子汤	每秒恢复的内力值提高2点，持续15分钟
豆腐皮包子	内功攻击提高77点，持续30分钟
炖酥肉	疗伤成效提高174点，持续30分钟
剁椒肉爪	回复精力42点
二十四桥明月夜	处于组队状态时，摆出一桌宴席，宴请同队队友内功攻击提高73点，内功命中等级提高54点，元气提高20点，根骨提高20点，持续1小时
翡翠烧卖	体力值恢复7点
粉芡炒肉	提高当前功体最受益的攻击力40点，持续30分钟
粉蒸肠	每秒恢复的内力值提高5点，持续15分钟
凤庆粑粑卷	身法提高24点，持续15分钟
佛手排骨	外功会心效果等级提高130点，持续30分钟
佛跳墙	精力回复25点，体力回复28点
芙蓉出水宴	提高当前功体最受益的属性，持续60分钟
甘草蘑菇茶	精力值恢复5点
甘露羹	元气提高21点，持续30分钟
干锅肉爪	体质提高32点，持续15分钟
贡丸汤	体力值恢复7点
枸杞瘦肉	精力值恢复8点，体力值恢复8点
灌汤包子	体力值恢复7点
贵妃宴	处于组队状态时，摆出一桌宴席，宴请同队队友，并有80%几率提升18的好感度外功攻击提高52点，毒性内功攻击提高64点，体质提高24点，力道提高18点，身法提高18点
贵人晚膳	处于组队状态时，摆出一桌宴席，宴请同队队友，并有80%几率提升10的好感度力道提高10点，气血最大值提高135点，每秒恢复的气血值提高3点
贵人早点	处于组队状态时，摆出一桌宴席，宴请同队队友，并有80%几率提升10的好感度元气提高10点，根骨提高10点，每秒恢复的内力值提高5点
桂花糕	每秒恢复的气血值提高2点，持续15分钟
锅包肉	内力回复速度提高25点，持续30分钟
果仁脆骨	力道提高24点，持续15分钟
过桥米线	招式附加威胁值提高20%，持续30分钟
汉宫宴	处于组队状态时，摆出一桌宴席，宴请同队队友内功攻击提高75点，内功命中等级提高54点，元气提高20点，根骨提高20点，持续1小时
行军炒大肉	外功攻击提高73点，持续30分钟
行军炒小肉	内功攻击提高88点，持续30分钟
行军炖骨	内力最大值提高352点，持续30分钟
行军闷蹄	疗伤成效提高174点，持续30分钟
行军烧骨	气血最大值提高324点，持续30分钟
行军煮蹄	威胁值提高11%，持续30分钟
好逑汤	精力回复28点
好烧	内力最大值提高176点，持续15分钟
合饼卷菜	内功会心效果等级提高130点，持续30分钟
和合腰子	精力值恢复18点，体力值恢复20点
黑山剁	气血最大值提高649点，持续30分钟
红山剁	内力最大值提高704点，持续30分钟
红烧排骨	元气提高21点，持续15分钟
红烧五花肉	根骨提高15点，持续15分钟
红血肠	每秒恢复的气血值提高2点，持续15分钟
鸿门宴	处于组队状态时，摆出一桌宴席，宴请同队队友，并有80%几率提升15的好感度力道提高13点，身法提高13点，体质提高17点，根骨提高13点
胡辣汤	身法提高9点，持续15分钟
葫芦头	力道提高9点，持续15分钟
虎皮凤爪	内功破防值提高130点，持续30分钟
化瘀汤	气血最大提高486点，持续30分钟
欢庆宴	处于组队状态时，摆出一桌宴席，宴请同队队友，提升20点好感度内力提高250点，根骨提高18点，内力回复每秒提高9点，治疗量提高126点持续1小时
黄瓜腱子肉	每秒恢复的内力值提高8点，持续15分钟
黄瓜小炒肉	提高当前功体最受益的属性13点，持续30分钟
