ID	Name	AttributeOne	AttributeTwo	AttributeThree
12001	彩·霸體·銳刃·狂攻(壹)	atVitalityBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12002	彩·霸體·銳刃·狂攻(貳)	atVitalityBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12003	彩·霸體·銳刃·狂攻(三)	atVitalityBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12004	彩·霸體·銳刃·狂攻(肆)	atVitalityBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12005	彩·霸體·銳刃·狂攻(伍)	atVitalityBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12006	彩·霸體·銳刃·狂攻(陸)	atVitalityBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12007	彩·霸體·銳刃·斬鐵(壹)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12008	彩·霸體·銳刃·斬鐵(貳)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12009	彩·霸體·銳刃·斬鐵(三)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12010	彩·霸體·銳刃·斬鐵(肆)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12011	彩·霸體·銳刃·斬鐵(伍)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12012	彩·霸體·銳刃·斬鐵(陸)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12013	彩·霸體·銳刃·痛擊(壹)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12014	彩·霸體·銳刃·痛擊(貳)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12015	彩·霸體·銳刃·痛擊(三)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12016	彩·霸體·銳刃·痛擊(肆)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12017	彩·霸體·銳刃·痛擊(伍)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12018	彩·霸體·銳刃·痛擊(陸)	atVitalityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12019	彩·霸體·斬鐵·狂攻(壹)	atVitalityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12020	彩·霸體·斬鐵·狂攻(貳)	atVitalityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12021	彩·霸體·斬鐵·狂攻(三)	atVitalityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12022	彩·霸體·斬鐵·狂攻(肆)	atVitalityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12023	彩·霸體·斬鐵·狂攻(伍)	atVitalityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12024	彩·霸體·斬鐵·狂攻(陸)	atVitalityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12025	彩·霸體·斬鐵·銳刃(壹)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12026	彩·霸體·斬鐵·銳刃(貳)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12027	彩·霸體·斬鐵·銳刃(三)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12028	彩·霸體·斬鐵·銳刃(肆)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12029	彩·霸體·斬鐵·銳刃(伍)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12030	彩·霸體·斬鐵·銳刃(陸)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12031	彩·霸體·斬鐵·痛擊(壹)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12032	彩·霸體·斬鐵·痛擊(貳)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12033	彩·霸體·斬鐵·痛擊(三)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12034	彩·霸體·斬鐵·痛擊(肆)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12035	彩·霸體·斬鐵·痛擊(伍)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12036	彩·霸體·斬鐵·痛擊(陸)	atVitalityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12037	彩·霸體·痛擊·狂攻(壹)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12038	彩·霸體·痛擊·狂攻(貳)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12039	彩·霸體·痛擊·狂攻(三)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12040	彩·霸體·痛擊·狂攻(肆)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12041	彩·霸體·痛擊·狂攻(伍)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12042	彩·霸體·痛擊·狂攻(陸)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12043	彩·霸體·痛擊·斬鐵(壹)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12044	彩·霸體·痛擊·斬鐵(貳)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12045	彩·霸體·痛擊·斬鐵(三)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12046	彩·霸體·痛擊·斬鐵(肆)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12047	彩·霸體·痛擊·斬鐵(伍)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12048	彩·霸體·痛擊·斬鐵(陸)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12049	彩·霸體·痛擊·銳刃(壹)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12050	彩·霸體·痛擊·銳刃(貳)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
