ID	Name	AttributeOne	AttributeTwo
25467	彩·濟世·靈根·妙手(肆)	atSpiritBase	atTherapyCoefficient
25468	彩·濟世·靈根·妙手(伍)	atSpiritBase	atTherapyCoefficient
25469	彩·濟世·靈根·妙手(陸)	atSpiritBase	atTherapyCoefficient
25446	彩·守護·霸體·鐵壁(伍)	atVitalityBase	atGlobalResist
25447	彩·守護·霸體·鐵壁(陸)	atVitalityBase	atGlobalResist
25444	彩·守護·霸體·清源(伍)	atVitalityBase	atBeTherapyCoefficient
25445	彩·守護·霸體·清源(陸)	atVitalityBase	atBeTherapyCoefficient
25476	彩·濟世·霸體·妙手(肆)	atVitalityBase	atTherapyCoefficient
25477	彩·濟世·霸體·妙手(伍)	atVitalityBase	atTherapyCoefficient
25478	彩·濟世·霸體·妙手(陸)	atVitalityBase	atTherapyCoefficient
25452	彩·擊破·強擊·聚力(肆)	atAllTypeCriticalStrike	atStrengthBase
25453	彩·擊破·強擊·聚力(伍)	atAllTypeCriticalStrike	atStrengthBase
25454	彩·擊破·強擊·聚力(陸)	atAllTypeCriticalStrike	atStrengthBase
25455	彩·擊破·強擊·強身(肆)	atAllTypeCriticalStrike	atAgilityBase
25456	彩·擊破·強擊·強身(伍)	atAllTypeCriticalStrike	atAgilityBase
25457	彩·擊破·強擊·強身(陸)	atAllTypeCriticalStrike	atAgilityBase
25458	彩·擊破·強擊·聚魂(肆)	atAllTypeCriticalStrike	atSpunkBase
25459	彩·擊破·強擊·聚魂(伍)	atAllTypeCriticalStrike	atSpunkBase
25460	彩·擊破·強擊·聚魂(陸)	atAllTypeCriticalStrike	atSpunkBase
25461	彩·擊破·強擊·固筋(肆)	atAllTypeCriticalStrike	atSpiritBase
25462	彩·擊破·強擊·固筋(伍)	atAllTypeCriticalStrike	atSpiritBase
25463	彩·擊破·強擊·固筋(陸)	atAllTypeCriticalStrike	atSpiritBase
25448	彩·守護·固本·清源(伍)	atBasePotential	atBeTherapyCoefficient
25449	彩·守護·固本·清源(陸)	atBasePotential	atBeTherapyCoefficient
25435	彩·征服·固本·嗜血(肆)	atBasePotential	atDamageToLifeForSelf
25436	彩·征服·固本·嗜血(伍)	atBasePotential	atDamageToLifeForSelf
25473	彩·濟世·固本·妙手(肆)	atBasePotential	atTherapyCoefficient
25474	彩·濟世·固本·妙手(伍)	atBasePotential	atTherapyCoefficient
25475	彩·濟世·固本·妙手(陸)	atBasePotential	atTherapyCoefficient
25464	彩·擊破·固本·剛烈(肆)	atBasePotential	atAllTypeCriticalDamagePowerBase
25465	彩·擊破·固本·剛烈(伍)	atBasePotential	atAllTypeCriticalDamagePowerBase
25466	彩·擊破·固本·剛烈(陸)	atBasePotential	atAllTypeCriticalDamagePowerBase
25695	彩·征服·固本·吸星(肆)	atBasePotential	atDamageToManaForSelf
25696	彩·征服·固本·吸星(伍)	atBasePotential	atDamageToManaForSelf
25438	彩·守護·固本·忘我(肆)	atBasePotential	atActiveThreatCoefficient
25439	彩·守護·固本·忘我(伍)	atBasePotential	atActiveThreatCoefficient
25440	彩·守護·固本·忘我(陸)	atBasePotential	atActiveThreatCoefficient
25470	彩·濟世·固本·延綿(肆)	atBasePotential	atModifyCostMana
25471	彩·濟世·固本·延綿(伍)	atBasePotential	atModifyCostMana
25472	彩·濟世·固本·延綿(陸)	atBasePotential	atModifyCostMana
25441	彩·守護·固本·健體(肆)	atBasePotential	atVitalityBase
25442	彩·守護·固本·健體(伍)	atBasePotential	atVitalityBase
25443	彩·守護·固本·健體(陸)	atBasePotential	atVitalityBase
25437	彩·征服·固本·迅疾(伍)	atBasePotential	atMoveSpeed
25450	彩·守護·固本·鐵壁(伍)	atBasePotential	atGlobalResist
25451	彩·守護·固本·鐵壁(陸)	atBasePotential	atGlobalResist
