ID	Name	AttributeOne	AttributeTwo
25467	彩·济世·灵根·妙手(肆)	atSpiritBase	atTherapyCoefficient
25468	彩·济世·灵根·妙手(伍)	atSpiritBase	atTherapyCoefficient
25469	彩·济世·灵根·妙手(陆)	atSpiritBase	atTherapyCoefficient
25446	彩·守护·霸体·铁壁(伍)	atVitalityBase	atGlobalResist
25447	彩·守护·霸体·铁壁(陆)	atVitalityBase	atGlobalResist
25444	彩·守护·霸体·清源(伍)	atVitalityBase	atBeTherapyCoefficient
25445	彩·守护·霸体·清源(陆)	atVitalityBase	atBeTherapyCoefficient
25476	彩·济世·霸体·妙手(肆)	atVitalityBase	atTherapyCoefficient
25477	彩·济世·霸体·妙手(伍)	atVitalityBase	atTherapyCoefficient
25478	彩·济世·霸体·妙手(陆)	atVitalityBase	atTherapyCoefficient
25452	彩·击破·强击·聚力(肆)	atAllTypeCriticalStrike	atStrengthBase
25453	彩·击破·强击·聚力(伍)	atAllTypeCriticalStrike	atStrengthBase
25454	彩·击破·强击·聚力(陆)	atAllTypeCriticalStrike	atStrengthBase
25455	彩·击破·强击·强身(肆)	atAllTypeCriticalStrike	atAgilityBase
25456	彩·击破·强击·强身(伍)	atAllTypeCriticalStrike	atAgilityBase
25457	彩·击破·强击·强身(陆)	atAllTypeCriticalStrike	atAgilityBase
25458	彩·击破·强击·聚魂(肆)	atAllTypeCriticalStrike	atSpunkBase
25459	彩·击破·强击·聚魂(伍)	atAllTypeCriticalStrike	atSpunkBase
25460	彩·击破·强击·聚魂(陆)	atAllTypeCriticalStrike	atSpunkBase
25461	彩·击破·强击·固筋(肆)	atAllTypeCriticalStrike	atSpiritBase
25462	彩·击破·强击·固筋(伍)	atAllTypeCriticalStrike	atSpiritBase
25463	彩·击破·强击·固筋(陆)	atAllTypeCriticalStrike	atSpiritBase
25448	彩·守护·固本·清源(伍)	atBasePotential	atBeTherapyCoefficient
25449	彩·守护·固本·清源(陆)	atBasePotential	atBeTherapyCoefficient
25435	彩·征服·固本·嗜血(肆)	atBasePotential	atDamageToLifeForSelf
25436	彩·征服·固本·嗜血(伍)	atBasePotential	atDamageToLifeForSelf
25473	彩·济世·固本·妙手(肆)	atBasePotential	atTherapyCoefficient
25474	彩·济世·固本·妙手(伍)	atBasePotential	atTherapyCoefficient
25475	彩·济世·固本·妙手(陆)	atBasePotential	atTherapyCoefficient
25464	彩·击破·固本·刚烈(肆)	atBasePotential	atAllTypeCriticalDamagePowerBase
25465	彩·击破·固本·刚烈(伍)	atBasePotential	atAllTypeCriticalDamagePowerBase
25466	彩·击破·固本·刚烈(陆)	atBasePotential	atAllTypeCriticalDamagePowerBase
25695	彩·征服·固本·吸星(肆)	atBasePotential	atDamageToManaForSelf
25696	彩·征服·固本·吸星(伍)	atBasePotential	atDamageToManaForSelf
25438	彩·守护·固本·忘我(肆)	atBasePotential	atActiveThreatCoefficient
25439	彩·守护·固本·忘我(伍)	atBasePotential	atActiveThreatCoefficient
25440	彩·守护·固本·忘我(陆)	atBasePotential	atActiveThreatCoefficient
25470	彩·济世·固本·延绵(肆)	atBasePotential	atModifyCostMana
25471	彩·济世·固本·延绵(伍)	atBasePotential	atModifyCostMana
25472	彩·济世·固本·延绵(陆)	atBasePotential	atModifyCostMana
25441	彩·守护·固本·健体(肆)	atBasePotential	atVitalityBase
25442	彩·守护·固本·健体(伍)	atBasePotential	atVitalityBase
25443	彩·守护·固本·健体(陆)	atBasePotential	atVitalityBase
25437	彩·征服·固本·迅疾(伍)	atBasePotential	atMoveSpeed
25450	彩·守护·固本·铁壁(伍)	atBasePotential	atGlobalResist
25451	彩·守护·固本·铁壁(陆)	atBasePotential	atGlobalResist
