szName	szDesc
安榮力勁湯	力道提高49點，持續30分鐘
八珍強體湯	體質提高65點，持續30分鐘
扒松肉	根骨提高49點，持續30分鐘
把子肉	精力值恢復13點
霸王餐	施展傷害或療傷招式後，有20%幾率使小隊成員根骨提高2點，持續15秒，最多疊加5層，持續15分鐘
白肉血腸	體力值恢復22點
白汁蘆筋	體質提高15點，持續15分鐘
白芷增骨湯	根骨提高49點，持續30分鐘
百味宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有80%幾率提升15的好感度身法提高13點，內力回復每秒提高13點，根骨提高7點，內功傷害提高7點
薄荷蒸排骨	氣血回復速度提高15點，持續30分鐘
爆椒扒肉	每秒恢復的氣血值提高15點，持續15分鐘
冰泉燉肉	體質提高24點，根骨提高24點，持續30分鐘
叉燒包	外功攻擊提高46點，持續15分鐘
車前草腰子湯	精力值恢復9點
豉汁雞爪	每秒恢復的氣血值提高7點，持續15分鐘
慈菇菜包	體力值恢復7點
蔥爆肉丁	療傷成效提高347點，持續30分鐘
醋溜排骨	每秒恢復的內力值提高11點，持續15分鐘
脆瓜裡脊絲	內功防禦等級提高12點，持續15分鐘
大腸筋	力道提高8點，持續15分鐘
大刀面	精力值恢復5點
擔擔麵	體質提高28點，持續15分鐘
稻香餅	每秒恢復的氣血值提高2點，持續15分鐘
東海宴	招式附加威脅值提高30%，內功防禦等級提高27點，外功防禦等級提高27，氣血值上限提高250點，持續1小時
冬菜扣肉	根骨提高24點，持續15分鐘
冬菇藕夾	每秒恢復的氣血值提高2點，每秒恢復的內力值提高2點，持續15分鐘
冬瓜排骨湯	體力值恢復28點
冬瓜碎肉湯	外功攻擊提高18點，持續15分鐘
冬瓜丸子湯	每秒恢復的內力值提高2點，持續15分鐘
豆腐皮包子	內功攻擊提高77點，持續30分鐘
燉酥肉	療傷成效提高174點，持續30分鐘
剁椒肉爪	回復精力42點
二十四橋明月夜	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友內功攻擊提高73點，內功命中等級提高54點，元氣提高20點，根骨提高20點，持續1小時
翡翠燒賣	體力值恢復7點
粉芡炒肉	提高當前功體最受益的攻擊力40點，持續30分鐘
粉蒸腸	每秒恢復的內力值提高5點，持續15分鐘
鳳慶粑粑卷	身法提高24點，持續15分鐘
佛手排骨	外功會心效果等級提高130點，持續30分鐘
佛跳牆	精力回復25點，體力回復28點
芙蓉出水宴	提高當前功體最受益的屬性，持續60分鐘
甘草蘑菇茶	精力值恢復5點
甘露羹	元氣提高21點，持續30分鐘
幹鍋肉爪	體質提高32點，持續15分鐘
貢丸湯	體力值恢復7點
枸杞瘦肉	精力值恢復8點，體力值恢復8點
灌湯包子	體力值恢復7點
貴妃宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有80%幾率提升18的好感度外功攻擊提高52點，毒性內功攻擊提高64點，體質提高24點，力道提高18點，身法提高18點
貴人晚膳	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有80%幾率提升10的好感度力道提高10點，氣血最大值提高135點，每秒恢復的氣血值提高3點
貴人早點	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有80%幾率提升10的好感度元氣提高10點，根骨提高10點，每秒恢復的內力值提高5點
桂花糕	每秒恢復的氣血值提高2點，持續15分鐘
鍋包肉	內力回復速度提高25點，持續30分鐘
果仁脆骨	力道提高24點，持續15分鐘
過橋米線	招式附加威脅值提高20%，持續30分鐘
漢宮宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友內功攻擊提高75點，內功命中等級提高54點，元氣提高20點，根骨提高20點，持續1小時
行軍炒大肉	外功攻擊提高73點，持續30分鐘
行軍炒小肉	內功攻擊提高88點，持續30分鐘
行軍燉骨	內力最大值提高352點，持續30分鐘
行軍悶蹄	療傷成效提高174點，持續30分鐘
行軍燒骨	氣血最大值提高324點，持續30分鐘
行軍煮蹄	威脅值提高11%，持續30分鐘
好逑湯	精力回復28點
好燒	內力最大值提高176點，持續15分鐘
合餅卷菜	內功會心效果等級提高130點，持續30分鐘
和合腰子	精力值恢復18點，體力值恢復20點
黑山剁	氣血最大值提高649點，持續30分鐘
紅山剁	內力最大值提高704點，持續30分鐘
紅燒排骨	元氣提高21點，持續15分鐘
