szKey	szValue
STR_LIBRARY_RECIPEINIT	◇生活技艺配方数据载入完毕！
STR_LIBRARY_DIAMONDINIT	◇五彩石数据载入完毕！
STR_LIBRARY_PREDICTIONINIT	◇瑰石数据载入完毕！
STR_LIBRARY_USEIN	在(.+)秘境使用
STR_LIBRARY_USEIN2	在(.+)使用
STR_TIP_ALL	全部
STR_TIP_COOKING	烹饪
STR_TIP_TAILORING	缝纫
STR_TIP_FOUNDING	铸造
STR_TIP_MEDICINE	医术
STR_TIP_RECASTING	淬炼
STR_TIP_DONOTDISASSEMBLE	不能拆解
STR_TIP_DEBUGINFO	调试用信息
STR_TIP_STACK	拆堆
STR_TIP_SPLITTIP	左键点击按钮或按住ALT+鼠标左键点击物品拆分
STR_TIP_TOTAL	总数：
STR_TIP_BAGANDBANK	    背包/仓库：
STR_TIP_PRICE	价格：
STR_TIP_RECIPELEARN	◆相关技艺配方<已学习>
STR_TIP_RECIPEUNLEARN	◆相关技艺配方<未学习>
STR_RETRIEVAL_TITLE	查询器
STR_RETRIEVAL_PRODUCE	技艺
STR_RETRIEVAL_PREDICTION	瑰石
STR_RETRIEVAL_DIAMOND	五彩石
STR_RETRIEVAL_SELECTMAP	选择秘境：
STR_RETRIEVAL_DEFAULTMAP	英雄千雷殿
STR_RETRIEVAL_DEFAULTBOSS	李白
STR_RETRIEVAL_AUXILIARY	辅助类
STR_RETRIEVAL_ENHANCED	增强类
STR_RETRIEVAL_DRUGENHANCED	药品增强
STR_RETRIEVAL_DRUGAUXILIARY	药品辅助
STR_RETRIEVAL_COOKINGENHANCED	烹饪增强
STR_RETRIEVAL_COOKINGAUXILIARY	烹饪辅助
STR_RETRIEVAL_ENCHANTING	附魔
STR_RETRIEVAL_OTHER	其他
STR_RETRIEVAL_PARRY	招架
STR_RETRIEVAL_PARRYVALUE	拆招
STR_RETRIEVAL_SHIELD	防御
STR_RETRIEVAL_THREAT	威胁值
STR_RETRIEVAL_PHYSICSATTACK	外功攻击
STR_RETRIEVAL_PHYSICSHIT	外功命中
STR_RETRIEVAL_PHYSICSCRITICALSTRIKE	外功会心
STR_RETRIEVAL_PHYSICSCRITICALDAMAGE	外功会效
STR_RETRIEVAL_MAGICATTACK	内功攻击
STR_RETRIEVAL_MAGICWEAPONDAMAGE	内功伤害
STR_RETRIEVAL_MAGICHIT	内功命中
STR_RETRIEVAL_MAGICCRITICALSTRIKE	内功会心
STR_RETRIEVAL_MAGICCRITICALDAMAGE	内功会效
STR_RETRIEVAL_THERAPYPOWER	治疗成效
STR_RETRIEVAL_STRENGTH	力道
STR_RETRIEVAL_SPIRIT	根骨
STR_RETRIEVAL_SPUNK	元气
STR_RETRIEVAL_AGILITY	身法
STR_RETRIEVAL_POTENTIAL	属性
STR_RETRIEVAL_VITALITY	体质
STR_RETRIEVAL_PHYSICSOVERCOME	外功破防
STR_RETRIEVAL_MAGICOVERCOME	内功破防
STR_RETRIEVAL_HIT	命中
STR_RETRIEVAL_DODGE	闪避
STR_RETRIEVAL_HASTE	加速
STR_RETRIEVAL_STRAIN	无双
STR_RETRIEVAL_TOUGHNESS	御劲
STR_RETRIEVAL_DECRITICALDAMAGE	化劲
STR_RETRIEVAL_HATE	仇恨
STR_RETRIEVAL_MOVESPEED	移动速度
STR_RETRIEVAL_MAGICSHIELD	内功防御
STR_RETRIEVAL_PHYSICSSHIELD	外功防御
STR_RETRIEVAL_KEY	钥匙
STR_RETRIEVAL_ENERGY	精力
STR_RETRIEVAL_BODYSTRENGTH	体力
STR_RETRIEVAL_FAVORABILITY	好感度
STR_RETRIEVAL_UNLEARNED	[未学]
STR_RETRIEVAL_NEEDSKILL	需要技艺：<D0> <D1>
STR_RETRIEVAL_STRENGTHEN	增强
STR_RETRIEVAL_AID	辅助
STR_RETRIEVAL_CRITICALPOWER	会效
STR_RETRIEVAL_CRITICALDAMAGEPOWERBASE	会心效果
STR_RETRIEVAL_CRITICALSTRIKE	会心
STR_RETRIEVAL_CRITICALSTRIKELEVEL	会心等级
STR_RETRIEVAL_THERAPY	治疗
STR_RETRIEVAL_CURE	疗
STR_RETRIEVAL_MATERIAL	材料
STR_RETRIEVAL_HAT	帽子
STR_RETRIEVAL_JACKET	上衣
