szKey	szValue
STR_LIBRARY_RECIPEINIT	◇生活技藝配方資料載入完畢！
STR_LIBRARY_DIAMONDINIT	◇五彩石數據載入完畢！
STR_LIBRARY_PREDICTIONINIT	◇瑰石數據載入完畢！
STR_LIBRARY_USEIN	在(.+)秘境使用
STR_LIBRARY_USEIN2	在(.+)使用
STR_TIP_ALL	全部
STR_TIP_COOKING	烹飪
STR_TIP_TAILORING	縫紉
STR_TIP_FOUNDING	鑄造
STR_TIP_MEDICINE	醫術
STR_TIP_RECASTING	淬煉
STR_TIP_DONOTDISASSEMBLE	不能拆解
STR_TIP_DEBUGINFO	調試用信息
STR_TIP_STACK	拆堆
STR_TIP_SPLITTIP	左鍵點擊按鈕或按住ALT+滑鼠左鍵點擊物品拆分
STR_TIP_TOTAL	總數：
STR_TIP_BAGANDBANK	    背包/倉庫：
STR_TIP_PRICE	價格：
STR_TIP_RECIPELEARN	◆相關技藝配方<已學習>
STR_TIP_RECIPEUNLEARN	◆相關技藝配方<未學習>
STR_RETRIEVAL_TITLE	查詢器
STR_RETRIEVAL_PRODUCE	技藝
STR_RETRIEVAL_PREDICTION	瑰石
STR_RETRIEVAL_DIAMOND	五彩石
STR_RETRIEVAL_SELECTMAP	選擇秘境：
STR_RETRIEVAL_DEFAULTMAP	英雄千雷殿
STR_RETRIEVAL_DEFAULTBOSS	李白
STR_RETRIEVAL_AUXILIARY	輔助類
STR_RETRIEVAL_ENHANCED	增強類
STR_RETRIEVAL_DRUGENHANCED	藥品增強
STR_RETRIEVAL_DRUGAUXILIARY	藥品輔助
STR_RETRIEVAL_COOKINGENHANCED	烹飪增強
STR_RETRIEVAL_COOKINGAUXILIARY	烹飪輔助
STR_RETRIEVAL_ENCHANTING	附魔
STR_RETRIEVAL_OTHER	其他
STR_RETRIEVAL_PARRY	招架
STR_RETRIEVAL_PARRYVALUE	拆招
STR_RETRIEVAL_SHIELD	防禦
STR_RETRIEVAL_THREAT	威脅值
STR_RETRIEVAL_PHYSICSATTACK	外功攻擊
STR_RETRIEVAL_PHYSICSHIT	外功命中
STR_RETRIEVAL_PHYSICSCRITICALSTRIKE	外功會心
STR_RETRIEVAL_PHYSICSCRITICALDAMAGE	外功會效
STR_RETRIEVAL_MAGICATTACK	內功攻擊
STR_RETRIEVAL_MAGICWEAPONDAMAGE	內功傷害
STR_RETRIEVAL_MAGICHIT	內功命中
STR_RETRIEVAL_MAGICCRITICALSTRIKE	內功會心
STR_RETRIEVAL_MAGICCRITICALDAMAGE	內功會效
STR_RETRIEVAL_THERAPYPOWER	治療成效
STR_RETRIEVAL_STRENGTH	力道
STR_RETRIEVAL_SPIRIT	根骨
STR_RETRIEVAL_SPUNK	元氣
STR_RETRIEVAL_AGILITY	身法
STR_RETRIEVAL_POTENTIAL	屬性
STR_RETRIEVAL_VITALITY	體質
STR_RETRIEVAL_PHYSICSOVERCOME	外功破防
STR_RETRIEVAL_MAGICOVERCOME	內功破防
STR_RETRIEVAL_HIT	命中
STR_RETRIEVAL_DODGE	閃避
STR_RETRIEVAL_HASTE	加速
STR_RETRIEVAL_STRAIN	無雙
STR_RETRIEVAL_TOUGHNESS	禦勁
STR_RETRIEVAL_DECRITICALDAMAGE	化勁
STR_RETRIEVAL_HATE	仇恨
STR_RETRIEVAL_MOVESPEED	移動速度
STR_RETRIEVAL_MAGICSHIELD	內功防禦
STR_RETRIEVAL_PHYSICSSHIELD	外功防禦
STR_RETRIEVAL_KEY	鑰匙
STR_RETRIEVAL_ENERGY	精力
STR_RETRIEVAL_BODYSTRENGTH	體力
STR_RETRIEVAL_FAVORABILITY	好感度
STR_RETRIEVAL_UNLEARNED	[未學]
STR_RETRIEVAL_NEEDSKILL	需要技藝：<D0> <D1>
